id,source_locale,target_locale,source,target,entities,from,source_no_punct,target_no_punc,code_switch
a9011ddf,it,en,What is the seventh tallest mountain in North America?,Quelle est la septième plus haute montagne d’Amérique du Nord ?,['Q49'],mintaka,What is the seventh tallest mountain in North America,Quelle est la septième plus haute montagne dAmérique du Nord ,What is the seventh tallest mountain in Amérique du nord
982450cf,it,en,Who is the youngest current US governor?,Qui est l’actuel plus jeune gouverneur américain ?,['Q889821'],mintaka,Who is the youngest current US governor,Qui est lactuel plus jeune gouverneur américain ,Who is the youngest current États governor
b218d184,it,en,Has Bernie Sanders ever been president of the United States?,Bernie Sanders a-t-il déjà été Président des États-Unis ?,['Q30'],mintaka,Has Bernie Sanders ever been president of the United States,Bernie Sanders atil déjà été Président des ÉtatsUnis ,Has Bernie Sanders ever been president of the ÉtatsUnis
f477742c,it,en,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Quel acteur Stephanie Meyer a-t-elle choisi en premier pour jouer le rôle d’Edward Cullen dans le film Twilight ?,['Q160219'],mintaka,Which actor was Stephenie Meyers first choice to play Edward Cullen in the movie Twilight,Quel acteur Stephanie Meyer atelle choisi en premier pour jouer le rôle dEdward Cullen dans le film Twilight ,Which actor was Stephanie Meyers first choice to play Edward Cullen in the movie Twilight
2e3cf745,it,en,Which river is longer than the Mississippi River?,Quel fleuve est plus long que le Mississippi ?,['Q1497'],mintaka,Which river is longer than the Mississippi River,Quel fleuve est plus long que le Mississippi ,Which river is longer than the Mississippi
faa4e84c,it,en,What is the latest US state to be admitted to the union that is not Hawaii?,Quel est le dernier État Américain à avoir été admis dans l’Union et qui n’est pas Hawaï ?,['Q782'],mintaka,What is the latest US state to be admitted to the union that is not Hawaii,Quel est le dernier État Américain à avoir été admis dans lUnion et qui nest pas Hawaï ,What is the latest États state to be admitted to the union that is not Hawaï
650e81a3,it,en,What is the longest lake in the world?,Quel est le lac le plus long du monde ?,['Q23397'],mintaka,What is the longest lake in the world,Quel est le lac le plus long du monde ,What is the longest lake in the world
43aae58f,it,en,How many times have the Los Angeles Dodgers lost the World Series?,Combien de fois les Dodgers de Los Angeles ont-ils perdu dans la série mondiale ?,"['Q334634', 'Q265538']",mintaka,How many times have the Los Angeles Dodgers lost the World Series,Combien de fois les Dodgers de Los Angeles ontils perdu dans la série mondiale ,How many times have the Dodgers de Los Angeles de Los Angeles lost the Séries
cf871296,it,en,Who was the president of Argentina from 1989 to 1999?,"Qui était le Président de l’Argentine, de mille neuf cent quatre-vingt-neuf à mille neuf cent quatre-vingt-dix-neuf ?",['Q414'],mintaka,Who was the president of Argentina from 1989 to 1999,Qui était le Président de lArgentine de mille neuf cent quatrevingtneuf à mille neuf cent quatrevingtdixneuf ,Who was the president of Argentins from 1989 to 1999
33ed28dd,it,en,"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Quel membre de l’équipe olympique masculine de natation des États-Unis de 2004 est né à Baltimore, dans le Maryland ?",['Q30'],mintaka,Who was a member of the 2004 US Olympic mens swim team and born in Baltimore Maryland,Quel membre de léquipe olympique masculine de natation des ÉtatsUnis de 2004 est né à Baltimore dans le Maryland ,Who was a member of the 2004 États-Unis aux Jeux olympiques mens swim team and born in Baltimore
cb790bce,it,en,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,Les Rams de Los Angeles ont-ils remporté un anneau de Super Bowl depuis leur retour à Los Angeles ?,['Q337377'],mintaka,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles,Les Rams de Los Angeles ontils remporté un anneau de Super Bowl depuis leur retour à Los Angeles ,Have the Rams de Los Angeles won a Super ring since moving back to Los Angeles
3e7b64af,it,en,Which player has won the most World Series rings?,Quel joueur a remporté le plus grand nombre de bagues de Série mondiale ?,['Q265538'],mintaka,Which player has won the most World Series rings,Quel joueur a remporté le plus grand nombre de bagues de Série mondiale ,Which player has won the most Séries rings
9508d042,it,en,How many Pulitzer Prizes has Colson Whitehead won?,De combien de prix Pulitzer Colson Whitehead est-il le lauréat ?,['Q46525'],mintaka,How many Pulitzer Prizes has Colson Whitehead won,De combien de prix Pulitzer Colson Whitehead estil le lauréat ,How many Pulitzer Prizes has Colson Whitehead won
