id,source_locale,target_locale,source,target,entities,from,source_no_punct,target_no_punc,code_switch
bff78c91,it,en,What year was the first book of the A Song of Ice and Fire series published?,In che anno venne pubblicato il primo libro della serie Cronache del Ghiaccio e del Fuoco?,['Q45875'],mintaka,What year was the first book of the A Song of Ice and Fire series published ?,In che anno venne pubblicato il primo libro della serie Cronache del Ghiaccio e del Fuoco ?,What year was the first book of the Cronache_del_ghiaccio_e_del_fuoco series published ?
f477742c,it,en,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Quale attore era stata la prima scelta di Stephanie Meyer per interpretare Edward Cullen nel film Twilight?,['Q160219'],mintaka,Which actor was Stephenie Meyers first choice to play Edward Cullen in the movie Twilight ?,Quale attore era stata la prima scelta di Stephanie Meyer per interpretare Edward Cullen nel film Twilight ?,Which actor was Stephenie Meyers first choice to play Edward Cullen in the movie Twilight ?
2e3cf745,it,en,Which river is longer than the Mississippi River?,Quale fiume è più lungo del Mississippi?,['Q1497'],mintaka,Which river is longer than the Mississippi River ?,Quale fiume è più lungo del Mississippi ?,Which river is longer than the Mississippi ?
650e81a3,it,en,What is the longest lake in the world?,Qual è il lago più lungo del mondo?,['Q23397'],mintaka,What is the longest lake in the world ?,Qual è il lago più lungo del mondo ?,What is the longest lake in the world ?
43aae58f,it,en,How many times have the Los Angeles Dodgers lost the World Series?,Quante volte i Los Angeles Dodgers hanno perso la Worls Series?,['Q265538'],mintaka,How many times have the Los Angeles Dodgers lost the World Series ?,Quante volte i Los Angeles Dodgers hanno perso la Worls Series ?,How many times have the Los_Angeles_Dodgers lost the World_Series ?
33ed28dd,it,en,"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Chi era un membro della squadra olimpica di nuoto maschile americana del 2004 ed è nato a Baltimora, Maryland?","['Q5092', 'Q8441', 'Q31920']",mintaka,Who was a member of the 2004 US Olympic mens swim team and born in Baltimore Maryland ?,Chi era un membro della squadra olimpica di nuoto maschile americana del 2004 ed è nato a Baltimora Maryland ?,Who was a member of the 2004 USA Olympic mens swim team and born in Maryland ?
a848c7c6,it,en,Has there ever been a Christian U.S. senator?,C'è mai stato un senatore americano cristiano?,['Q106039'],mintaka,Has there ever been a Christian US senator ?,Cè mai stato un senatore americano cristiano ?,Has there ever been a Cristiano USA senator ?
9508d042,it,en,How many Pulitzer Prizes has Colson Whitehead won?,Quanti premi Pulitzer ha vinto Colson Whitehead?,['Q46525'],mintaka,How many Pulitzer Prizes has Colson Whitehead won ?,Quanti premi Pulitzer ha vinto Colson Whitehead ?,How many premio_Pulitzer Prizes has Colson Whitehead won ?
21f3dbb1,it,en,"Which movie was released first, Avengers: Endgame or Joker?","Quale film è uscito prima, Avengers Endgame o Joker?",['Q23781155'],mintaka,Which movie was released first Avengers Endgame or Joker ?,Quale film è uscito prima Avengers Endgame o Joker ?,Which movie was released first Avengers_Endgame or Joker ?
ae9f3be5,it,en,Was Friday the 13th released the same year as Halloween?,Venerdì 13 è uscito lo stesso anno di Halloween?,['Q1243029'],mintaka,Was Friday the 13th released the same year as Halloween ?,Venerdì 13 è uscito lo stesso anno di Halloween ?,Was Venerdì_13 released the same year as Halloween ?
47feccd4,it,en,"Which movie had a higher lifetime gross, Jurassic World or The Lion King?","Quale film ha registrato maggiori incassi nel tempo, Jurassic World o Il re Leone?",['Q36479'],mintaka,Which movie had a higher lifetime gross Jurassic World or The Lion King ?,Quale film ha registrato maggiori incassi nel tempo Jurassic World o Il re Leone ?,Which movie had a higher lifetime gross Jurassic_World or Il_re_leone ?
