source,entities,translations
"Which actor was the star of Titanic and was born in Los Angeles, California?","['Titanic', 'Los Angeles', 'California']","['RMS Titanic', 'Los Ángeles', 'California']"
What year was the first book of the A Song of Ice and Fire series published?,['A Song of Ice and Fire'],['Canción de hielo y fuego']
Which US president has had the most votes?,['US'],['Estados Unidos']
How long did it take to build the Lincoln Memorial?,['Lincoln Memorial'],['Monumento a Lincoln']
Has Bernie Sanders ever been president of the United States?,"['Bernie Sanders', 'United States']","['Bernie Sanders', 'Estados Unidos']"
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,"['Stephenie Meyer', 'Edward Cullen', 'Twilight']","['Stephenie Meyer', 'Edward Cullen', 'Crepúsculo']"
What is the latest US state to be admitted to the union that is not Hawaii?,"['US', 'Hawaii']","['Estados Unidos', 'Hawái']"
What is the longest lake in the world?,[],[]
Is Texas the largest state in US?,"['Texas', 'US']","['Texas', 'Estados Unidos']"
How many times have the Los Angeles Dodgers lost the World Series?,"['Los Angeles Dodgers', 'World Series']","['Los Angeles Dodgers', 'Serie Mundial']"
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","['2004', 'U', 'S. Olympic', 'Baltimore', 'Maryland']","['2004', 'U', 'S. Olympic', 'Baltimore', 'Maryland']"
Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,"['Los Angeles Rams', 'Super Bowl', 'Los Angeles']","['Los Angeles Rams', 'Super Bowl', 'Los Ángeles']"
Has there ever been a Christian U.S. senator?,"['Christian', 'U', 'S']","['Cristianos', 'U', 'S']"
Which player has won the most World Series rings?,['World Series'],['Serie Mundial']
How many Pulitzer Prizes has Colson Whitehead won?,"['Pulitzer Prize', 'Colson Whitehead']","['Premio Pulitzer', 'Colson Whitehead']"
"Which movie made more money, Joker or Suicide Squad (2016)?","['Joker', 'Suicide Squad']","['Joker', 'Escuadrón Suicida']"
Did Citizen Kane come out before 1950?,['Citizen Kane'],['Citizen Kane']
"Which movie had a higher lifetime gross, Jurassic World or The Lion King?","['Jurassic World', 'The Lion King']","['Jurassic World', 'El rey león']"
Did Inception have a bigger budget than Dunkirk?,"['Inception', 'Du', 'nk', 'irk']","['Inception', 'Du', 'NK', 'Río Irk']"
"Who has won more Academy Awards, Helen Mirren or Cate Blanchett?","['Academy Awards', 'Helen Mirren', 'Cate Blanchett']","['Premios Óscar', 'Helen Mirren', 'Cate Blanchett']"
