id,source_locale,target_locale,source,target,entities,from,source_no_punct,target_no_punc,code_switch
2723bb1b,it,en,"Which actor was the star of Titanic and was born in Los Angeles, California?","¿Qué actor protagonizó Titanic y nació en Los Ángeles, California?",['Q65'],mintaka,Which actor was the star of Titanic and was born in Los Angeles California,Qué actor protagonizó Titanic y nació en Los Ángeles California,Which actor was the star of Titanic and was born in Los Ángeles California
bff78c91,it,en,What year was the first book of the A Song of Ice and Fire series published?,¿En qué año se publicó el primer libro de la saga Canción de hielo y fuego?,['Q45875'],mintaka,What year was the first book of the A Song of Ice and Fire series published,En qué año se publicó el primer libro de la saga Canción de hielo y fuego,What year was the first book of the Canción de Hielo y Fuego series published
fe541d01,it,en,Which US president has had the most votes?,¿Qué presidente de Estados Unidos obtuvo más votos?,['Q30'],mintaka,Which US president has had the most votes,Qué presidente de Estados Unidos obtuvo más votos,Which Estados Unidos president has had the most votes
217a0a84,it,en,How long did it take to build the Lincoln Memorial?,¿En cuánto tiempo se construyó el Monumento a Lincoln?,['Q213559'],mintaka,How long did it take to build the Lincoln Memorial,En cuánto tiempo se construyó el Monumento a Lincoln,How long did it take to build the Monumento a Lincoln
b218d184,it,en,Has Bernie Sanders ever been president of the United States?,¿Bernie Sanders ha sido alguna vez presidente de los Estados Unidos?,['Q30'],mintaka,Has Bernie Sanders ever been president of the United States,Bernie Sanders ha sido alguna vez presidente de los Estados Unidos,Has Bernie Sanders ever been president of the Los Estados Unidos
f477742c,it,en,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,¿Qué actor fue la primera opción de Stephanie Meyer para interpretar a Edward Cullen en la película Crepúsculo?,"['Q160219', 'Q160071']",mintaka,Which actor was Stephenie Meyers first choice to play Edward Cullen in the movie Twilight,Qué actor fue la primera opción de Stephanie Meyer para interpretar a Edward Cullen en la película Crepúsculo,Which actor was Stephanie Meyer first choice to play Edward Cullen in the movie Saga Crepúsculo
faa4e84c,it,en,What is the latest US state to be admitted to the union that is not Hawaii?,¿Cuál es el último estado de Estados Unidos en ser incorporado a la unión aparte de Hawái?,"['Q30', 'Q782']",mintaka,What is the latest US state to be admitted to the union that is not Hawaii,Cuál es el último estado de Estados Unidos en ser incorporado a la unión aparte de Hawái,What is the latest Estados Unidos state to be admitted to the union that is not Hawái
650e81a3,it,en,What is the longest lake in the world?,¿Cuál es el lago más largo del mundo?,['Q23397'],mintaka,What is the longest lake in the world,Cuál es el lago más largo del mundo,What is the longest lake in the world
a146c476,it,en,Is Texas the largest state in US?,¿Tejas es el estado más grande de Estados Unidos?,"['Q30', 'Q1439']",mintaka,Is Texas the largest state in US,Tejas es el estado más grande de Estados Unidos,Is Texas the largest state in Estados Unidos
43aae58f,it,en,How many times have the Los Angeles Dodgers lost the World Series?,¿Cuántas veces perdieron los Dodgers de Los Ángeles la Serie Mundial?,['Q265538'],mintaka,How many times have the Los Angeles Dodgers lost the World Series,Cuántas veces perdieron los Dodgers de Los Ángeles la Serie Mundial,How many times have the Los Ángeles Dodgers lost the Series Mundiales
33ed28dd,it,en,"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","¿Quién fue miembro del equipo olímpico de natación masculino de Estados Unidos en 2004 y nació en Baltimore, Maryland?","['Q31920', 'Q30']",mintaka,Who was a member of the 2004 US Olympic mens swim team and born in Baltimore Maryland,Quién fue miembro del equipo olímpico de natación masculino de Estados Unidos en 2004 y nació en Baltimore Maryland,Who was a member of the 2004 Estados Unidos Oro mens swim team and born in Baltimore Maryland
cb790bce,it,en,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,¿Los Rams de Los Ángeles han ganado un anillo del Super Bowl desde que se trasladaron a Los Ángeles?,['Q65'],mintaka,Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles,Los Rams de Los Ángeles han ganado un anillo del Super Bowl desde que se trasladaron a Los Ángeles,Have the Rams de Los Ángeles won a Super Bowl ring since moving back to Los Ángeles
a848c7c6,it,en,Has there ever been a Christian U.S. senator?,¿Alguna vez ha habido un senador estadounidense cristiano?,['Q106039'],mintaka,Has there ever been a Christian US senator,Alguna vez ha habido un senador estadounidense cristiano,Has there ever been a Guerra Civil Estados Unidos senator
3e7b64af,it,en,Which player has won the most World Series rings?,¿Qué jugador ha ganado más anillos de la Serie Mundial?,['Q265538'],mintaka,Which player has won the most World Series rings,Qué jugador ha ganado más anillos de la Serie Mundial,Which player has won the most Series Mundiales rings
